,Team,Season,Goals For,Total Shots,Total PIM,Avg Age,Team +/-,Sum OPS,Sum DPS,Highest Scorer PTS,Highest G,Highest A,GP,Playoffs
122,BOS,2010,196,2599,929,26.9,-17,25.5,46.9,52,22,37,82,1
131,BUF,2010,231,2588,902,26.8,49,40.0,43.5,69,28,48,82,1
146,CAR,2010,226,2402,944,27.7,-114,37.5,29.7,70,30,41,82,0
124,CBJ,2010,214,2338,1070,25.9,-151,33.199999999999996,29.0,67,33,40,82,0
149,CGY,2010,201,2350,1129,28.1,35,28.3,44.3,69,32,37,82,0
145,CHI,2010,262,2798,908,26.2,215,54.2,48.300000000000004,88,30,58,82,1
148,COL,2010,237,2287,1001,26.5,46,42.1,35.9,79,28,59,81,1
123,DAL,2010,230,2524,955,26.8,-58,38.3,29.9,91,29,67,82,0
135,DET,2010,223,2737,707,29.6,-7,36.3,42.4,70,27,47,82,1
125,EDM,2010,206,2321,1115,26.4,-291,29.8,20.8,63,32,31,82,0
128,FLA,2010,202,2331,961,26.2,-109,28.900000000000002,32.0,60,28,37,82,0
138,LAK,2010,231,2389,963,25.7,69,39.9,42.3,81,34,47,82,1
126,MIN,2010,214,2266,914,26.6,-167,33.1,33.1,71,25,49,82,0
130,MTL,2010,210,2346,920,26.1,-60,31.8,39.1,70,28,47,82,1
120,NJD,2010,216,2459,843,27.9,95,33.5,50.5,82,38,44,82,1
147,NSH,2010,217,2508,698,26.7,28,34.4,39.6,51,30,34,82,1
132,NYI,2010,214,2493,928,26.8,-118,32.6,26.8,54,30,38,82,0
127,NYR,2010,219,2425,1137,27.1,-11,35.0,40.9,86,42,44,82,0
143,OTT,2010,220,2436,1115,27.0,-67,35.6,36.1,71,25,51,82,1
139,PHI,2010,232,2589,1350,26.5,-16,41.1,39.8,62,33,45,82,1
134,PIT,2010,249,2688,1183,26.8,40,47.6,36.199999999999996,109,51,58,82,1
140,SJS,2010,257,2602,1137,27.2,145,50.800000000000004,41.4,89,44,69,82,1
133,STL,2010,218,2445,1296,27.0,-45,34.3,39.3,57,24,33,82,0
129,TBL,2010,213,2367,1357,26.2,-184,32.3,28.099999999999998,95,51,65,82,0
121,TOR,2010,210,2671,1071,26.4,-123,31.400000000000002,27.1,55,30,42,82,0
136,VAN,2010,268,2534,1261,27.6,189,55.5,40.1,112,35,83,82,1
142,WPG,2010,230,2409,1045,27.6,-69,39.6,28.8,67,31,44,82,0
141,WSH,2010,313,2693,920,27.4,384,72.7,36.3,109,50,68,82,1
174,ANA,2011,235,2334,1158,27.9,-67,43.3,34.7,98,50,57,82,1
167,ARI,2011,226,2486,851,27.7,123,38.9,36.7,60,20,48,82,1
152,BOS,2011,244,2696,1105,27.0,284,46.1,45.6,62,30,49,81,1
161,BUF,2011,240,2690,942,27.3,37,44.3,36.6,73,32,41,82,1
176,CAR,2011,231,2517,821,26.0,-39,41.1,32.9,76,33,43,82,0
154,CBJ,2011,210,2506,1099,26.4,-108,32.3,28.6,66,32,34,82,0
179,CGY,2011,241,2501,818,28.8,0,45.1,35.4,86,43,47,82,0
175,CHI,2011,252,2637,720,26.1,92,49.7,39.199999999999996,76,34,46,82,1
178,COL,2011,221,2394,1055,25.7,-203,37.2,19.1,67,27,40,80,0
153,DAL,2011,222,2269,1052,27.1,-43,36.5,35.6,77,33,52,82,0
165,DET,2011,257,2757,748,29.7,26,52.0,33.5,80,28,56,82,1
155,EDM,2011,191,2188,1250,25.8,-212,24.8,24.6,43,22,28,82,0
158,FLA,2011,191,2493,694,27.0,-137,24.3,36.3,49,23,28,82,0
168,LAK,2011,209,2363,938,25.7,22,32.1,47.699999999999996,73,28,48,82,1
156,MIN,2011,203,2148,969,26.6,-133,29.5,34.9,62,22,45,82,0
160,MTL,2011,213,2602,1069,27.1,-3,34.1,42.800000000000004,57,29,35,82,1
150,NJD,2011,171,2344,747,27.2,-155,15.9,44.5,62,31,41,82,0
177,NSH,2011,213,2362,694,26.6,118,34.1,47.3,50,23,35,82,1
162,NYI,2011,225,2408,1489,25.7,-185,38.2,25.9,67,34,38,82,0
157,NYR,2011,224,2453,1060,26.6,86,37.9,46.5,54,24,30,82,1
173,OTT,2011,190,2381,1143,27.0,-269,25.2,30.599999999999998,57,21,36,82,0
169,PHI,2011,256,2605,1111,27.3,214,51.3,39.2,76,36,51,82,1
